"Дата","Value"
"2022-10-22T11:30:00+03:00, 61.1958"
"2022-10-21T11:30:00+03:00, 61.5018"
"2022-10-20T11:30:00+03:00, 61.5905"
"2022-10-19T11:30:00+03:00, 61.7032"
"2022-10-18T11:30:00+03:00, 61.7634"
"2022-10-15T11:30:00+03:00, 63.0558"
"2022-10-14T11:30:00+03:00, 63.4917"
"2022-10-13T11:30:00+03:00, 63.7559"
"2022-10-12T11:30:00+03:00, 63.684"
"2022-10-11T11:30:00+03:00, 62.3126"
"2022-10-08T11:30:00+03:00, 61.2475"
"2022-10-07T11:30:00+03:00, 60.2534"
"2022-10-06T11:30:00+03:00, 59.4043"
"2022-10-05T11:30:00+03:00, 58.7913"
"2022-10-04T11:30:00+03:00, 57.5664"
"2022-10-01T11:30:00+03:00, 55.2987"
"2022-09-30T11:30:00+03:00, 57.413"
"2022-09-29T11:30:00+03:00, 58.4485"
